,Unnamed: 0,url,Model_Name,Color,Product_Features,Main_Image,Selling_Price,Product_Type,Gender,Down_Feather_Percentage,Natural_Leather_Percentage,PU_Percentage,Carbon_Percentage,Waterproof,Breathable,Abrasion_Resistance,Elasticity,Ultra_Lightweight,Insulation,Windproof,Lightweight,Heating,man,woman
10,10,https://www.thenorthfacekorea.co.kr/product/NA5AR03D,눕시 베스트 키링,Gold_yellow,"눕시 베스트를 축소한 노스페이스만의 키링입니다.
여행 또는 평상시에 가방에 걸어 사용 할 수 있어 사용이 용이합니다.
눕시 베스트를 축소한 노스페이스만의 키링입니다.
여행 또는 평상시에 가방에 걸어 사용 할 수 있어 사용이 용이합니다.",https://image.thenorthfacekorea.co.kr/cmsstatic/product/NA5AR03D_NA5AR03D_primary.jpg,26100,Other,남여공용,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
11,11,https://www.thenorthfacekorea.co.kr/product/NA5AR03E,눕시 베스트 키링,Royal_blue,"눕시 베스트를 축소한 노스페이스만의 키링입니다.
여행 또는 평상시에 가방에 걸어 사용 할 수 있어 사용이 용이합니다.
눕시 베스트를 축소한 노스페이스만의 키링입니다.
여행 또는 평상시에 가방에 걸어 사용 할 수 있어 사용이 용이합니다.",https://image.thenorthfacekorea.co.kr/cmsstatic/product/NA5AR03E_NA5AR03E_primary.jpg,26100,Other,남여공용,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
12,12,https://www.thenorthfacekorea.co.kr/product/NA5AR05A,마운틴 베어 키링,Brown,"마운틴 자켓을 입고있는 귀여운 노스페이스 베어 키링입니다.
노스페이스의 가방에 걸어주면 귀여운 포인트가 되는 아이템 입니다.
마운틴 자켓을 입고있는 귀여운 노스페이스 베어 키링입니다.
노스페이스의 가방에 걸어주면 귀여운 포인트가 되는 아이템 입니다.",https://image.thenorthfacekorea.co.kr/cmsstatic/product/4000047617/NA5AR05A.jpg,29000,Other,남여공용,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
13,13,https://www.thenorthfacekorea.co.kr/product/NA5AR05C,마운틴 베어 키링,Royal_blue,"마운틴 자켓을 입고있는 귀여운 노스페이스 베어 키링입니다.
노스페이스의 가방에 걸어주면 귀여운 포인트가 되는 아이템 입니다.
마운틴 자켓을 입고있는 귀여운 노스페이스 베어 키링입니다.
노스페이스의 가방에 걸어주면 귀여운 포인트가 되는 아이템 입니다.",https://image.thenorthfacekorea.co.kr/cmsstatic/product/NA5AR05C_NA5AR05C_primary.jpg,29000,Other,남여공용,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
14,14,https://www.thenorthfacekorea.co.kr/product/NA5AR05D,마운틴 베어 키링,White,"마운틴 자켓을 입고있는 귀여운 노스페이스 베어 키링입니다.
노스페이스의 가방에 걸어주면 귀여운 포인트가 되는 아이템 입니다.
마운틴 자켓을 입고있는 귀여운 노스페이스 베어 키링입니다.
노스페이스의 가방에 걸어주면 귀여운 포인트가 되는 아이템 입니다.",https://image.thenorthfacekorea.co.kr/cmsstatic/product/NA5AR05D_NA5AR05D_primary.jpg,29000,Other,남여공용,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
15,15,https://www.thenorthfacekorea.co.kr/product/NA5AR30A,서밋 런 베스트 5,Black,"러닝에 최적화된 Summit Run Vest 5는 최소한의 흔들림과 뛰어난 착용감을 제공하여 출발선부터 결승선까지 한계를 뛰어넘을 수 있도록 돕습니다.
상하 조절이 가능한 가슴 스트랩과 측면 압축 스트랩을 통해 몸에 맞게 조정할 수 있어 안정적인 착용감을 제공합니다.
공기 투과성이 뛰어난 등판 패널이 적용되어 장시간 착용 시에도 쾌적함을 유지하며,
FlashDry™ 소재가 빠르게 땀을 배출해 최상의 컨디션을 유지할 수 있도록 돕습니다.
효율적인 다층 구조로 필수 장비를 편리하게 보관할 수 있습니다.
가슴 부분에는 소프트 플라스크를 위한 포켓 2개와 지퍼 포켓이 있으며, 하단에도 추가 포켓이 배치되어 있습니다.
대형 백 포켓과 트레킹 폴 슬리브가 있어 장거리 레이스에서도 충분한 수납력을 제공합니다.
흔들림을 최소화하는 탄력 밸브 안정장치가 적용된 500ml 소프트 플라스크 2개가 포함되어 있으며,
하이드레이션 튜브를 고정할 수 있는 탄성 루프가 있어 레이스 중에도 손쉽게 수분을 보충할 수 있습니다.
상하 조절이 가능한 가슴 스트랩과 측면 압축 스트랩을 통해 몸에 딱 맞는 핏을 구현할 수 있으며,
호루라기가 포함되어 긴급 상황에도 대비할 수 있습니다.
또한 반사 로고가 적용되어 저조도 환경에서도 가시성을 높여 안전성을 강화합니다.
러닝에 최적화된 Summit Run Vest 5는 최소한의 흔들림과 뛰어난 착용감을 제공하여 출발선부터 결승선까지 한계를 뛰어넘을 수 있도록 돕습니다.
상하 조절이 가능한 가슴 스트랩과 측면 압축 스트랩을 통해 몸에 맞게 조정할 수 있어 안정적인 착용감을 제공합니다.
공기 투과성이 뛰어난 등판 패널이 적용되어 장시간 착용 시에도 쾌적함을 유지하며,
FlashDry™ 소재가 빠르게 땀을 배출해 최상의 컨디션을 유지할 수 있도록 돕습니다.
효율적인 다층 구조로 필수 장비를 편리하게 보관할 수 있습니다.
가슴 부분에는 소프트 플라스크를 위한 포켓 2개와 지퍼 포켓이 있으며, 하단에도 추가 포켓이 배치되어 있습니다.
대형 백 포켓과 트레킹 폴 슬리브가 있어 장거리 레이스에서도 충분한 수납력을 제공합니다.
흔들림을 최소화하는 탄력 밸브 안정장치가 적용된 500ml 소프트 플라스크 2개가 포함되어 있으며,
하이드레이션 튜브를 고정할 수 있는 탄성 루프가 있어 레이스 중에도 손쉽게 수분을 보충할 수 있습니다.
상하 조절이 가능한 가슴 스트랩과 측면 압축 스트랩을 통해 몸에 딱 맞는 핏을 구현할 수 있으며,
호루라기가 포함되어 긴급 상황에도 대비할 수 있습니다.
또한 반사 로고가 적용되어 저조도 환경에서도 가시성을 높여 안전성을 강화합니다.",https://image.thenorthfacekorea.co.kr/cmsstatic/product/4000050179/NA5AR30A.jpg,239000,Other,남여공용,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
16,16,https://www.thenorthfacekorea.co.kr/product/NA5AR30B,서밋 런 베스트 5,White,"러닝에 최적화된 Summit Run Vest 5는 최소한의 흔들림과 뛰어난 착용감을 제공하여 출발선부터 결승선까지 한계를 뛰어넘을 수 있도록 돕습니다.
상하 조절이 가능한 가슴 스트랩과 측면 압축 스트랩을 통해 몸에 맞게 조정할 수 있어 안정적인 착용감을 제공합니다.
공기 투과성이 뛰어난 등판 패널이 적용되어 장시간 착용 시에도 쾌적함을 유지하며,
FlashDry™ 소재가 빠르게 땀을 배출해 최상의 컨디션을 유지할 수 있도록 돕습니다.
효율적인 다층 구조로 필수 장비를 편리하게 보관할 수 있습니다.
가슴 부분에는 소프트 플라스크를 위한 포켓 2개와 지퍼 포켓이 있으며, 하단에도 추가 포켓이 배치되어 있습니다.
대형 백 포켓과 트레킹 폴 슬리브가 있어 장거리 레이스에서도 충분한 수납력을 제공합니다.
흔들림을 최소화하는 탄력 밸브 안정장치가 적용된 500ml 소프트 플라스크 2개가 포함되어 있으며,
하이드레이션 튜브를 고정할 수 있는 탄성 루프가 있어 레이스 중에도 손쉽게 수분을 보충할 수 있습니다.
상하 조절이 가능한 가슴 스트랩과 측면 압축 스트랩을 통해 몸에 딱 맞는 핏을 구현할 수 있으며,
호루라기가 포함되어 긴급 상황에도 대비할 수 있습니다.
또한 반사 로고가 적용되어 저조도 환경에서도 가시성을 높여 안전성을 강화합니다.
러닝에 최적화된 Summit Run Vest 5는 최소한의 흔들림과 뛰어난 착용감을 제공하여 출발선부터 결승선까지 한계를 뛰어넘을 수 있도록 돕습니다.
상하 조절이 가능한 가슴 스트랩과 측면 압축 스트랩을 통해 몸에 맞게 조정할 수 있어 안정적인 착용감을 제공합니다.
공기 투과성이 뛰어난 등판 패널이 적용되어 장시간 착용 시에도 쾌적함을 유지하며,
FlashDry™ 소재가 빠르게 땀을 배출해 최상의 컨디션을 유지할 수 있도록 돕습니다.
효율적인 다층 구조로 필수 장비를 편리하게 보관할 수 있습니다.
가슴 부분에는 소프트 플라스크를 위한 포켓 2개와 지퍼 포켓이 있으며, 하단에도 추가 포켓이 배치되어 있습니다.
대형 백 포켓과 트레킹 폴 슬리브가 있어 장거리 레이스에서도 충분한 수납력을 제공합니다.
흔들림을 최소화하는 탄력 밸브 안정장치가 적용된 500ml 소프트 플라스크 2개가 포함되어 있으며,
하이드레이션 튜브를 고정할 수 있는 탄성 루프가 있어 레이스 중에도 손쉽게 수분을 보충할 수 있습니다.
상하 조절이 가능한 가슴 스트랩과 측면 압축 스트랩을 통해 몸에 딱 맞는 핏을 구현할 수 있으며,
호루라기가 포함되어 긴급 상황에도 대비할 수 있습니다.
또한 반사 로고가 적용되어 저조도 환경에서도 가시성을 높여 안전성을 강화합니다.",https://image.thenorthfacekorea.co.kr/cmsstatic/product/4000050180/NA5AR30B.jpg,239000,Other,남여공용,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
17,17,https://www.thenorthfacekorea.co.kr/product/NA5AR31A,선라이저 런 벨트,Black,"보급형 러닝용 벨트로 평평한 프로필과 고정된 구조로 뛰거나 달릴 때 불필요한 튕김을 최소화하여 편안한 착용감을 제공합니다.
넉넉한 수납공간으로 메인 수납공간은 큰 스마트폰을 수납할 수 있으며, 추가로 메쉬 포켓과 열쇠 훅이 있어 작은 아이템도 안전하게 보관 가능합니다.
외부 메쉬 포켓은 작은 소지품을 빠르게 꺼낼 수 있어 뛰는 중에도 손쉽게 접근할 수 있습니다.
다양한 체형에 맞춰 조절 가능한 웹빙 허리띠로 편안하게 착용 가능합니다.
보급형 러닝용 벨트로 평평한 프로필과 고정된 구조로 뛰거나 달릴 때 불필요한 튕김을 최소화하여 편안한 착용감을 제공합니다.
넉넉한 수납공간으로 메인 수납공간은 큰 스마트폰을 수납할 수 있으며, 추가로 메쉬 포켓과 열쇠 훅이 있어 작은 아이템도 안전하게 보관 가능합니다.
외부 메쉬 포켓은 작은 소지품을 빠르게 꺼낼 수 있어 뛰는 중에도 손쉽게 접근할 수 있습니다.
다양한 체형에 맞춰 조절 가능한 웹빙 허리띠로 편안하게 착용 가능합니다.",https://image.thenorthfacekorea.co.kr/cmsstatic/product/4000046512/NA5AR31A.jpg,39000,Other,남여공용,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
18,18,https://www.thenorthfacekorea.co.kr/product/NA5AR32A,선라이저 런 베스트 8,Black,"Sunriser Run Vest 8은 도심 러닝부터 트레일, 50K 레이스까지 흔들림을 최소화하도록 설계되어 안정적인 착용감을 제공합니다. 부드럽고 통기성이 뛰어난 원단이 적용되어 장시간 착용 시에도 편안함을 유지합니다.
500ml 소프트 플라스크 2개가 포함되어 있으며, 내부에 하이드레이션 호스 고정 시스템이 있어 장거리 러닝에서도 원활한 수분 보충이 가능합니다.
총 5개의 포켓이 배치되어 있으며, 간식을 보관할 수 있는 스낵 포켓 2개, 물병 전용 포켓 2개, 그리고 대형 스마트폰도 수납 가능한 지퍼 포켓이 포함되어 있습니다.
지퍼형 백 포켓과 탄성 스트랩 시스템이 적용되어 있어 간식, 물 필터, 추가 레이어 등을 안전하게 보관할 수 있으며, 후면에는 트레킹 폴 캐리 시스템이 장착되어 있어 다양한 아웃도어 활동에 적합합니다.
측면 압축 시스템이 개개인의 체형에 맞춘 커스텀 핏을 제공하며, 러닝 중 흔들림을 최소화합니다. 또한 호루라기와 반사 디테일이 적용되어 야간 러닝 시에도 가시성을 높여 안전성을 강화합니다.
Sunriser Run Vest 8은 도심 러닝부터 트레일, 50K 레이스까지 흔들림을 최소화하도록 설계되어 안정적인 착용감을 제공합니다. 부드럽고 통기성이 뛰어난 원단이 적용되어 장시간 착용 시에도 편안함을 유지합니다.
500ml 소프트 플라스크 2개가 포함되어 있으며, 내부에 하이드레이션 호스 고정 시스템이 있어 장거리 러닝에서도 원활한 수분 보충이 가능합니다.
총 5개의 포켓이 배치되어 있으며, 간식을 보관할 수 있는 스낵 포켓 2개, 물병 전용 포켓 2개, 그리고 대형 스마트폰도 수납 가능한 지퍼 포켓이 포함되어 있습니다.
지퍼형 백 포켓과 탄성 스트랩 시스템이 적용되어 있어 간식, 물 필터, 추가 레이어 등을 안전하게 보관할 수 있으며, 후면에는 트레킹 폴 캐리 시스템이 장착되어 있어 다양한 아웃도어 활동에 적합합니다.
측면 압축 시스템이 개개인의 체형에 맞춘 커스텀 핏을 제공하며, 러닝 중 흔들림을 최소화합니다. 또한 호루라기와 반사 디테일이 적용되어 야간 러닝 시에도 가시성을 높여 안전성을 강화합니다.",https://image.thenorthfacekorea.co.kr/cmsstatic/product/4000050181/NA5AR32A.jpg,149000,Other,남여공용,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
19,19,https://www.thenorthfacekorea.co.kr/product/NA5AR32B,선라이저 런 베스트 8,Blue,"Sunriser Run Vest 8은 도심 러닝부터 트레일, 50K 레이스까지 흔들림을 최소화하도록 설계되어 안정적인 착용감을 제공합니다. 부드럽고 통기성이 뛰어난 원단이 적용되어 장시간 착용 시에도 편안함을 유지합니다.
500ml 소프트 플라스크 2개가 포함되어 있으며, 내부에 하이드레이션 호스 고정 시스템이 있어 장거리 러닝에서도 원활한 수분 보충이 가능합니다.
총 5개의 포켓이 배치되어 있으며, 간식을 보관할 수 있는 스낵 포켓 2개, 물병 전용 포켓 2개, 그리고 대형 스마트폰도 수납 가능한 지퍼 포켓이 포함되어 있습니다.
지퍼형 백 포켓과 탄성 스트랩 시스템이 적용되어 있어 간식, 물 필터, 추가 레이어 등을 안전하게 보관할 수 있으며, 후면에는 트레킹 폴 캐리 시스템이 장착되어 있어 다양한 아웃도어 활동에 적합합니다.
측면 압축 시스템이 개개인의 체형에 맞춘 커스텀 핏을 제공하며, 러닝 중 흔들림을 최소화합니다. 또한 호루라기와 반사 디테일이 적용되어 야간 러닝 시에도 가시성을 높여 안전성을 강화합니다.
Sunriser Run Vest 8은 도심 러닝부터 트레일, 50K 레이스까지 흔들림을 최소화하도록 설계되어 안정적인 착용감을 제공합니다. 부드럽고 통기성이 뛰어난 원단이 적용되어 장시간 착용 시에도 편안함을 유지합니다.
500ml 소프트 플라스크 2개가 포함되어 있으며, 내부에 하이드레이션 호스 고정 시스템이 있어 장거리 러닝에서도 원활한 수분 보충이 가능합니다.
총 5개의 포켓이 배치되어 있으며, 간식을 보관할 수 있는 스낵 포켓 2개, 물병 전용 포켓 2개, 그리고 대형 스마트폰도 수납 가능한 지퍼 포켓이 포함되어 있습니다.
지퍼형 백 포켓과 탄성 스트랩 시스템이 적용되어 있어 간식, 물 필터, 추가 레이어 등을 안전하게 보관할 수 있으며, 후면에는 트레킹 폴 캐리 시스템이 장착되어 있어 다양한 아웃도어 활동에 적합합니다.
측면 압축 시스템이 개개인의 체형에 맞춘 커스텀 핏을 제공하며, 러닝 중 흔들림을 최소화합니다. 또한 호루라기와 반사 디테일이 적용되어 야간 러닝 시에도 가시성을 높여 안전성을 강화합니다.",https://image.thenorthfacekorea.co.kr/cmsstatic/product/4000050182/NA5AR32B.jpg,149000,Other,남여공용,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
20,20,https://www.thenorthfacekorea.co.kr/product/NA5AR33A,티엔에프 런 폴 슬리브,Black,"폴을 손쉽게 장착하고 분리할 수 있어, 이동 중에도 편리하게 사용할 수 있습니다.
이동 중에도 빠르게 조정할 수 있는 단일 압축 시스템을 제공하여, 폴을 안전하게 고정합니다.
여러 가지 장착 방향 옵션을 제공해 사용자의 필요에 맞게 최적화할 수 있습니다.
자사의 SUMMIT RUN VEST와 호환되어 다양한 상황에서 함께 사용할 수 있습니다.
폴을 손쉽게 장착하고 분리할 수 있어, 이동 중에도 편리하게 사용할 수 있습니다.
이동 중에도 빠르게 조정할 수 있는 단일 압축 시스템을 제공하여, 폴을 안전하게 고정합니다.
여러 가지 장착 방향 옵션을 제공해 사용자의 필요에 맞게 최적화할 수 있습니다.
자사의 SUMMIT RUN VEST와 호환되어 다양한 상황에서 함께 사용할 수 있습니다.",https://image.thenorthfacekorea.co.kr/cmsstatic/product/4000046513/NA5AR33A_NA5AR33A_primary-1.jpg,39000,Other,남여공용,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
21,21,https://www.thenorthfacekorea.co.kr/product/NA5BQ81A,플리스 멀티 스카프,Red,"가볍고 부드러우며 보온력이 좋은 플리스 소재를 사용한 넥워머 입니다.
앞면 기장을 길게하여  목아래까지 바람을 막아주며 착용시 편안합니다.
뒤쪽 스트링으로 사이즈 조절 할 수 있습니다.
가볍고 부드러우며 보온력이 좋은 플리스 소재를 사용한 넥워머 입니다.
앞면 기장을 길게하여  목아래까지 바람을 막아주며 착용시 편안합니다.
뒤쪽 스트링으로 사이즈 조절 할 수 있습니다.",https://image.thenorthfacekorea.co.kr/cmsstatic/product/NA5BQ81A_NA5BQ81A_primary.jpg,26100,Scarf/Bandana,남여공용,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
